"","Data/Time","ensemble_avg","ensemble_min","ensemble_max","ensemble_med","Obs setup","Obs wspd","Obs wdir"
"1",2020-07-29 01:00:00,NA,NA,NA,NA,NA,1.54332,340
"2",2020-07-29 02:00:00,NA,NA,NA,NA,NA,1.54332,320
"3",2020-07-29 03:00:00,NA,NA,NA,NA,NA,0,0
"4",2020-07-29 04:00:00,NA,NA,NA,NA,NA,0,0
"5",2020-07-29 05:00:00,NA,NA,NA,NA,NA,0,0
"6",2020-07-29 06:00:00,NA,NA,NA,NA,NA,0,0
"7",2020-07-29 07:00:00,NA,NA,NA,NA,NA,0,0
"8",2020-07-29 08:00:00,NA,NA,NA,NA,NA,0,0
"9",2020-07-29 09:00:00,NA,NA,NA,NA,NA,0,0
"10",2020-07-29 10:00:00,NA,NA,NA,NA,NA,0,0
"11",2020-07-29 11:00:00,NA,NA,NA,NA,NA,0,0
"12",2020-07-29 12:00:00,NA,NA,NA,NA,-0.17904596452992,1.54332,150
"13",2020-07-29 13:00:00,NA,NA,NA,NA,-0.00117840022897016,2.05776,180
"14",2020-07-29 14:00:00,NA,NA,NA,NA,0.139612024898032,0,0
"15",2020-07-29 15:00:00,NA,NA,NA,NA,0.387726719430111,2.05776,170
"16",2020-07-29 16:00:00,NA,NA,NA,NA,0.456979059433175,3.08664,NA
"17",2020-07-29 17:00:00,NA,NA,NA,NA,0.926262100439659,5.1444,100
"18",2020-07-29 18:00:00,NA,NA,NA,NA,1.67061485087715,3.60108,150
"19",2020-07-29 19:00:00,NA,NA,NA,NA,1.23127902203021,2.5722,300
"20",2020-07-29 20:00:00,NA,NA,NA,NA,1.51612984608034,2.5722,100
"21",2020-07-29 21:00:00,NA,NA,NA,NA,2.27347774058422,3.60108,130
"22",2020-07-29 22:00:00,NA,NA,NA,NA,3.18138268146823,3.60108,140
"23",2020-07-29 23:00:00,NA,NA,NA,NA,3.94763930057914,4.11552,110
"24",2020-07-30 00:00:00,NA,NA,NA,NA,4.1167687327351,2.5722,120
"25",2020-07-30 01:00:00,NA,NA,NA,NA,2.86320198366831,2.5722,320
"26",2020-07-30 02:00:00,NA,NA,NA,NA,2.57000446570045,1.54332,30
"27",2020-07-30 03:00:00,NA,NA,NA,NA,2.10933251918017,0,0
"28",2020-07-30 04:00:00,NA,NA,NA,NA,1.83790071389046,0,0
"29",2020-07-30 05:00:00,NA,NA,NA,NA,1.12723171309852,1.54332,280
"30",2020-07-30 06:00:00,NA,NA,NA,NA,0.521320599991305,0,0
"31",2020-07-30 07:00:00,NA,NA,NA,NA,0.838322469520537,0,0
"32",2020-07-30 08:00:00,NA,NA,NA,NA,0.636247285935418,0,0
"33",2020-07-30 09:00:00,NA,NA,NA,NA,0.19229611064775,0,0
"34",2020-07-30 10:00:00,NA,NA,NA,NA,-0.0927913895113228,0,0
"35",2020-07-30 11:00:00,NA,NA,NA,NA,-0.150075504809502,1.54332,200
"36",2020-07-30 12:00:00,NA,NA,NA,NA,-0.316300012219824,0,0
"37",2020-07-30 13:00:00,NA,NA,NA,NA,-0.0738451312495411,2.05776,200
"38",2020-07-30 14:00:00,NA,NA,NA,NA,0.234721573493133,2.5722,180
"39",2020-07-30 15:00:00,NA,NA,NA,NA,0.282642336244217,2.05776,NA
"40",2020-07-30 16:00:00,NA,NA,NA,NA,0.508059479968999,4.11552,90
"41",2020-07-30 17:00:00,NA,NA,NA,NA,1.22012535169833,4.62996,110
"42",2020-07-30 18:00:00,NA,NA,NA,NA,1.57349207971898,4.62996,90
"43",2020-07-30 19:00:00,NA,NA,NA,NA,1.85235767094095,7.7166,240
"44",2020-07-30 20:00:00,NA,NA,NA,NA,2.57436105271028,3.08664,140
"45",2020-07-30 21:00:00,NA,NA,NA,NA,3.57304473548482,4.62996,120
"46",2020-07-30 22:00:00,NA,NA,NA,NA,4.95088664385884,5.65884,120
"47",2020-07-30 23:00:00,NA,NA,NA,NA,6.50951715394832,6.17328,140
"48",2020-07-31 00:00:00,NA,NA,NA,NA,8.03143796842303,4.11552,150
"49",2020-07-31 01:00:00,NA,NA,NA,NA,8.80459291943193,3.60108,160
"50",2020-07-31 02:00:00,NA,NA,NA,NA,8.65748422107024,2.05776,170
"51",2020-07-31 03:00:00,NA,NA,NA,NA,8.08258433251017,1.54332,170
"52",2020-07-31 04:00:00,NA,NA,NA,NA,7.25403828472505,1.54332,290
"53",2020-07-31 05:00:00,NA,NA,NA,NA,5.61579144537456,2.05776,320
"54",2020-07-31 06:00:00,NA,NA,NA,NA,5.1093750971754,0,0
"55",2020-07-31 07:00:00,NA,NA,NA,NA,4.76276919321687,0,0
"56",2020-07-31 08:00:00,NA,NA,NA,NA,3.92557065243706,0,0
"57",2020-07-31 09:00:00,NA,NA,NA,NA,2.99020681401684,0,0
"58",2020-07-31 10:00:00,NA,NA,NA,NA,1.94658525011537,0,0
"59",2020-07-31 11:00:00,NA,NA,NA,NA,0.618415500171,1.54332,300
"60",2020-07-31 12:00:00,NA,NA,NA,NA,0.0885150567409303,0,0
"61",2020-07-31 13:00:00,NA,NA,NA,NA,-0.12908000527908,0,0
"62",2020-07-31 14:00:00,NA,NA,NA,NA,-0.122728433139251,2.5722,190
"63",2020-07-31 15:00:00,NA,NA,NA,NA,-0.0998052392978665,3.08664,200
"64",2020-07-31 16:00:00,NA,NA,NA,NA,-0.0180586943121402,2.05776,80
"65",2020-07-31 17:00:00,NA,NA,NA,NA,0.577084920190757,4.62996,110
